GPU,Title,Model,Total Parameters,Image Size,Batch Size,Train Images,Validation Images,Test Images,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training Duration (seconds),Training Duration (hours),Total Epoch
A100 40GB,"EfficientNet Not Modified, Not Trainable, Imagenet",EfficientNetB7,64.270.298,"(600, 600)",32,1382,348,2550,0.9471780061721802,0.15132632851600647,0.9396551847457886,0.17461489140987396,0.774117648601532,1.2103182077407837,2297,0.6379970423380534,20
A100 40GB,"EfficientNet Not Modified, 50% Freeze, Imagenet",EfficientNetB7,64.798.362,"(600, 600)",32,1382,348,2550,0.9934877157211304,0.025855652987957,0.977011501789093,0.0710340291261673,0.8199999928474426,0.5894409418106079,5927,1.6463674702909257,52
A100 40GB,"EfficientNet Not Modified, 0% Freeze, None",EfficientNetB7,64.270.298,"(600, 600)",32,1382,348,2550,0.36830681562423706,1.0948982238769531,0.36206895112991333,1.0942168235778809,0.11490195989608765,1.1387757062911987,1510,0.4193141557772954,9
A100 40GB,"EfficientNetB0 Not Modified, 0% Freeze, None",EfficientNetB0,5.887.654,"(224, 224)",32,1382,348,2550,0.4616497755050659,1.0513352155685425,0.3419540226459503,1.101674199104309,0.24705882370471954,1.1656068563461304,321,0.08930395391252306,6
A100 40GB,"EfficientNetB0 Not Modified, 0% Freeze, None",EfficientNetB0,5.887.654,"(224, 224)",32,1382,348,2550,0.8690304160118103,0.330745130777359,0.8419540524482727,0.37394267320632935,0.7415686249732971,0.8454169631004333,2876,0.7989499400721656,99
A100 40GB,"EfficientNetB1 Not Modified, 0% Freeze, None",EfficientNetB1,8.413.322,"(240, 240)",32,1382,348,2550,0.8104196786880493,0.4509526491165161,0.818965494632721,0.4478236734867096,0.11450980603694916,2.2211155891418457,3139,0.8718676280313068,99
A100 40GB,"EfficientNetB2 Not Modified, 0% Freeze, None",EfficientNetB2,9.737.724,"(260, 260)",32,1382,348,2550,0.9811866879463196,0.053604401648044586,0.9655172228813171,0.12782907485961914,0.7917646765708923,1.2874069213867188,3417,0.9490713112221824,99
A100 40GB,"EfficientNetB3 Not Modified, 0% Freeze, None",EfficientNetB3,12.883.762,"(300, 300)",32,1382,348,2550,0.5926194190979004,0.8819713592529297,0.6321839094161987,0.8105896711349487,0.17686274647712708,1.3034310340881348,3999,1.1108235108852387,99
A100 40GB,"EfficientNetB4 Not Modified, 0% Freeze, None",EfficientNetB4,20.036.194,"(380, 380)",32,1382,348,2550,0.9840810298919678,0.06150122359395027,0.9683908224105835,0.1450592279434204,0.822352945804596,0.9764721989631653,5462,1.5171550254027049,99
A100 40GB,"EfficientNetB5 Not Modified, 0% Freeze, None",EfficientNetB5,31.138.042,"(456, 456)",8,1382,348,2550,0.3661360442638397,1.092880129814148,0.41091954708099365,1.0701560974121094,0.10823529213666916,1.148903727531433,1925,0.5345902880032857,24
