Fold,GPU,Total Parameters,Image Size,Batch Size,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Precision,Recall,F1-Score,Training Duration (seconds),Training Duration (hours),Total Epoch,Train Images,Validation Images,Test Images
1,GPU_NAME,3.163.118,"(224, 224)",32,0.9764705896377563,0.07275176793336868,0.9747292399406433,0.07415268570184708,0.8764705657958984,0.6181216835975647,0.8662316890073177,0.7261502563630223,0.7500370547362154,1188,0.33011542154683005,50,1105,277,2550
2,GPU_NAME,3.163.118,"(224, 224)",32,0.9819004535675049,0.05974514037370682,0.9819494485855103,0.07123952358961105,0.8501960635185242,1.041627049446106,0.8569062651692821,0.6517984300963025,0.6508367521278143,1145,0.31815380103058283,50,1105,277,2550
3,GPU_NAME,3.163.118,"(224, 224)",32,0.9819168448448181,0.053079988807439804,0.9528985619544983,0.1503593921661377,0.8258823752403259,1.633581519126892,0.771143297656346,0.585620951152866,0.5588245999118954,1167,0.3240678737560908,50,1106,276,2550
4,GPU_NAME,3.163.118,"(224, 224)",32,0.9719710946083069,0.0817643254995346,0.967391312122345,0.10277970880270004,0.7772548794746399,1.5074573755264282,0.7374104556884529,0.5221518119390459,0.51401216405615,1145,0.31803909460703533,50,1106,276,2550
5,GPU_NAME,3.163.118,"(224, 224)",32,0.9764918684959412,0.06726500391960144,0.95652174949646,0.12103743851184845,0.7709804177284241,1.9694160223007202,0.7632888114595432,0.547131702025319,0.5179805200567964,1158,0.32177127838134767,50,1106,276,2550
