,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Precision,Recall,F1-Score,Training Duration (seconds)
mean,0.9876993417739868,0.04129533618688578,0.9768299102783203,0.07366665601730342,0.7976470589637756,1.4763582587242126,0.8226829521012619,0.5895748569791123,0.5711617032536387,1553.4
std,0.0021752231144914064,0.005703814406490918,0.010460779414507362,0.03620417209839436,0.04838252547972323,0.3965540372776777,0.01837671929325759,0.016922268588834975,0.03491602613682819,44.7582394649298
