,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Precision,Recall,F1-Score,Training Duration (seconds)
mean,0.9777501702308655,0.06692124530673024,0.9666980624198913,0.10391374975442882,0.8201568603515625,1.3540407299995423,0.7989961037961885,0.6065706303153112,0.5983382181777743,1160.6
std,0.004219134802141594,0.011152433111014382,0.012161093138597716,0.03318520172301597,0.04573092810328023,0.5290429143603484,0.058561489687483405,0.08283002624057437,0.10111651961916887,17.924843095547587
