num_blocks_remaining,total_params,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,test_accuracy,test_loss,training_time
7,5887654,0.8654124736785889,0.8045976758003235,0.35673725605010986,0.6435811519622803,0.7207843065261841,1.0517570972442627,0h:23m:55s
6,5887654,0.385672926902771,0.39942529797554016,1.4002244472503662,1.1238173246383667,0.24039216339588165,1.1587181091308594,0h:23m:52s
7,5887654,0.34659913182258606,0.32758620381355286,1.661648154258728,5.370785713195801,0.12784314155578613,2.6430678367614746,0h:23m:51s
6,5001334,0.9775687456130981,0.9626436829566956,0.06679946929216385,0.16586153209209442,0.7674509882926941,1.308869481086731,0h:24m:7s
5,2854538,0.9399421215057373,0.8793103694915771,0.15575763583183289,0.5718066692352295,0.6686274409294128,3.5423364639282227,0h:23m:41s
4,2262462,0.9725036025047302,0.9482758641242981,0.0825960636138916,0.17753185331821442,0.7643136978149414,1.3049968481063843,0h:23m:15s
3,1963052,0.9652677178382874,0.9195402264595032,0.09941038489341736,0.25023186206817627,0.8250980377197266,1.3517621755599976,0h:23m:12s
2,1894236,0.9573082327842712,0.8247126340866089,0.1292935162782669,0.5190332531929016,0.7368627190589905,1.338794469833374,0h:22m:54s
1,1866226,0.8473227024078369,0.7155172228813171,0.38374415040016174,0.8611746430397034,0.661960780620575,2.306765556335449,0h:22m:53s
