Fold,GPU,Total Parameters,Image Size,Batch Size,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Precision,Recall,F1-Score,Training Duration (seconds),Training Duration (hours),Total Epoch,Train Images,Validation Images,Test Images
1,GPU_NAME,3.163.118,"(300, 300)",32,0.9882352948188782,0.043959274888038635,0.9891696572303772,0.0399262011051178,0.7180392146110535,1.949391484260559,0.8149355066113851,0.5762848341571746,0.5090056269396995,1616,0.4488284872637855,50,1105,277,2550
2,GPU_NAME,3.163.118,"(300, 300)",32,0.9891402721405029,0.039900679141283035,0.9855595827102661,0.03201393783092499,0.836078405380249,1.73602294921875,0.8550651305386853,0.6151682989980863,0.5822918313722115,1553,0.4313294580247667,50,1105,277,2550
3,GPU_NAME,3.163.118,"(300, 300)",32,0.9900542497634888,0.032349709421396255,0.9710144996643066,0.11467034369707108,0.8219608068466187,1.5374897718429565,0.8138438439851344,0.5906053442223654,0.5846207256059568,1573,0.4368961884578069,50,1106,276,2550
4,GPU_NAME,3.163.118,"(300, 300)",32,0.9846292734146118,0.04754234477877617,0.9746376872062683,0.0838979110121727,0.7858823537826538,1.17694890499115,0.8103519612679304,0.5723285540306816,0.5910577552147168,1499,0.41630103627840676,48,1106,276,2550
5,GPU_NAME,3.163.118,"(300, 300)",32,0.9864376187324524,0.042724672704935074,0.9637681245803833,0.09782488644123077,0.8262745141983032,0.9819381833076477,0.8192183181031737,0.5934872534872535,0.5888325771356085,1526,0.4237748348050647,49,1106,276,2550
